variant,calendar_date_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-08-07,MGC,7,-84.9999999999909,-1.699999999999818,-12.142857142855844,-0.16999999999998172,28.57142857142857
type1_sniper,2025-08-07,MNQ,1,-170.0,-17.0,-170.0,-0.33999999999999997,0.0
type1_sniper,2025-08-08,MNQ,4,990.0,99.0,247.5,1.98,75.0
type1_sniper,2025-08-11,MYM,1,-70.625,-28.25,-70.625,-0.14125,0.0
type1_sniper,2025-08-12,MES,2,-356.25,-14.25,-178.125,-0.7125,0.0
type1_sniper,2025-08-12,MGC,9,1291.8750000000045,25.83750000000009,143.54166666666717,2.583750000000009,55.55555555555556
type1_sniper,2025-08-12,MNQ,2,357.5,35.75,178.75,0.715,50.0
type1_sniper,2025-08-13,MES,2,-206.25,-8.25,-103.125,-0.4125,0.0
type1_sniper,2025-08-13,MGC,6,-554.9999999999955,-11.099999999999909,-92.49999999999925,-1.1099999999999908,16.666666666666664
type1_sniper,2025-08-13,MNQ,2,372.5,37.25,186.25,0.745,50.0
type1_sniper,2025-08-14,MES,3,1398.4375,55.9375,466.1458333333333,2.796875,100.0
type1_sniper,2025-08-14,MGC,4,242.49999999999545,4.849999999999909,60.62499999999886,0.4849999999999911,50.0
type1_sniper,2025-08-14,MNQ,5,815.0,81.5,163.0,1.6300000000000001,60.0
type1_sniper,2025-08-15,MNQ,7,-990.0,-99.0,-141.42857142857142,-1.98,14.285714285714285
type1_sniper,2025-08-18,MES,4,-600.0,-24.0,-150.0,-1.2000000000000002,0.0
type1_sniper,2025-08-18,MGC,1,-42.50000000001819,-0.8500000000003638,-42.50000000001819,-0.08500000000003638,0.0
type1_sniper,2025-08-18,MNQ,5,1598.75,159.875,319.75,3.1975000000000002,80.0
type1_sniper,2025-08-18,MYM,6,-169.375,-67.75,-28.229166666666668,-0.33875,16.666666666666664
type1_sniper,2025-08-19,MES,2,368.75,14.75,184.375,0.7374999999999999,50.0
type1_sniper,2025-08-19,MGC,1,-172.50000000001364,-3.450000000000273,-172.50000000001364,-0.3450000000000273,0.0
type1_sniper,2025-08-19,MNQ,1,-270.0,-27.0,-270.0,-0.54,0.0
type1_sniper,2025-08-20,MES,1,18.75,0.75,18.75,0.0375,100.0
type1_sniper,2025-08-20,MGC,3,-467.49999999999545,-9.349999999999909,-155.8333333333318,-0.934999999999991,0.0
type1_sniper,2025-08-20,MNQ,1,-250.0,-25.0,-250.0,-0.5,0.0
type1_sniper,2025-08-20,MYM,3,595.0,238.0,198.33333333333334,1.19,66.66666666666666
type1_sniper,2025-08-21,MYM,7,135.625,54.25,19.375,0.27125,42.857142857142854
