side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,99.17,98.43471428571428,100.64057142857145,99.90528571428572,100.64057142857145,0.7352857142857232,1.4705714285714464,2.0,99.15,98.43471428571428,2026-03-16 02:31:00,2026-03-16 05:57:00,-0.0072141776529069945,-716.0010000000129,MCL,tradovate,1m,5,500.0,2026-03-15 22:31:00-04:00,2026-03-16 01:57:00-04:00,2026-03-15 22:31:00,2026-03-16 01:57:00,2026-03,2026-03,2026-03-16,2026-03-15,-0.7152857142857272,-357.6428571428636,735.2857142857232
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,6663.75,6674.75,6606.0,6654.75,6606.0,11.0,57.75,5.25,6664.0,6674.75,2026-03-16 07:56:00,2026-03-16 08:06:00,-0.001613145258103188,-161.25,MES,tradovate,1m,5,25.0,2026-03-16 03:56:00-04:00,2026-03-16 04:06:00-04:00,2026-03-16 03:56:00,2026-03-16 04:06:00,2026-03,2026-03,2026-03-16,2026-03-15,-10.75,-268.75,1443.75
SHORT,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,4997.4,5007.627857142857,4970.4,4989.472142857144,4970.4,10.22785714285692,27.0,2.639849151477116,4997.7,5007.627857142857,2026-03-16 07:54:00,2026-03-16 08:25:00,-0.001986485211768807,-198.55714285713475,MGC,tradovate,1m,5,50.0,2026-03-16 03:54:00-04:00,2026-03-16 04:25:00-04:00,2026-03-16 03:54:00,2026-03-16 04:25:00,2026-03,2026-03,2026-03-16,2026-03-15,-9.927857142856737,-496.3928571428369,1350.0
SHORT,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,46779.0,46863.75,46604.0,46713.75,46604.0,84.75,175.0,2.0648967551622417,46774.0,46863.75,2026-03-17 07:53:00,2026-03-17 08:41:00,-0.0019188010433146552,-179.5,MYM,tradovate,1m,5,2.5,2026-03-17 03:53:00-04:00,2026-03-17 04:41:00-04:00,2026-03-17 03:53:00,2026-03-17 04:41:00,2026-03,2026-03,2026-03-17,2026-03-16,-89.75,-224.375,437.5
SHORT,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,6675.25,6685.745535714285,6652.0,6665.254464285715,6652.0,10.495535714285325,23.25,2.2152275627393423,6675.5,6685.745535714285,2026-03-17 07:51:00,2026-03-17 09:15:00,-0.0015347967514471872,-153.68303571427987,MES,tradovate,1m,5,25.0,2026-03-17 03:51:00-04:00,2026-03-17 05:15:00-04:00,2026-03-17 03:51:00,2026-03-17 05:15:00,2026-03,2026-03,2026-03-17,2026-03-16,-10.245535714285325,-256.1383928571331,581.25
SHORT,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,24559.75,24606.49017857143,24470.769642857143,24516.00982142857,24470.769642857143,46.74017857142826,88.98035714285652,1.90372308926627,24562.0,24606.49017857143,2026-03-17 07:51:00,2026-03-17 09:25:00,-0.0018113418521059632,-177.96071428571304,NQ,tradovate,1m,5,10.0,2026-03-17 03:51:00-04:00,2026-03-17 05:25:00-04:00,2026-03-17 03:51:00,2026-03-17 05:25:00,2026-03,2026-03,2026-03-17,2026-03-16,-44.49017857142826,-444.9017857142826,889.8035714285652
SHORT,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4993.95,4999.135714285715,4973.5,4988.764285714285,4973.5,5.185714285715221,20.449999999999818,3.9435261707981515,4994.5,4999.135714285715,2026-03-18 02:58:00,2026-03-18 03:14:00,-0.0009281638373641599,-92.71428571430079,MGC,tradovate,1m,5,50.0,2026-03-17 22:58:00-04:00,2026-03-17 23:14:00-04:00,2026-03-17 22:58:00,2026-03-17 23:14:00,2026-03,2026-03,2026-03-17,2026-03-17,-4.635714285715039,-231.78571428575196,1022.4999999999909
SHORT,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,4993.2,5001.149285714286,4973.5,4986.950714285715,4973.5,7.949285714285907,19.699999999999818,2.47821008176827,4993.2,5001.149285714286,2026-03-18 03:57:00,2026-03-18 05:37:00,-0.0015920222931760097,-158.98571428571813,MGC,tradovate,1m,5,50.0,2026-03-17 23:57:00-04:00,2026-03-18 01:37:00-04:00,2026-03-17 23:57:00,2026-03-18 01:37:00,2026-03,2026-03,2026-03-18,2026-03-17,-7.949285714285907,-397.46428571429533,984.9999999999909
SHORT,NYAM_CONTINUATION,iFVG,PULLBACK_1M,B,6671.0,6687.688392857143,6611.5,6654.311607142857,6611.5,16.6883928571433,59.5,3.5653523085976264,6671.5,6687.688392857143,2026-03-18 14:27:00,2026-03-18 15:00:00,-0.002426499716277286,-242.82589285714948,MES,tradovate,1m,5,25.0,2026-03-18 10:27:00-04:00,2026-03-18 11:00:00-04:00,2026-03-18 10:27:00,2026-03-18 11:00:00,2026-03,2026-03,2026-03-18,2026-03-17,-16.1883928571433,-404.7098214285825,1487.5
SHORT,NYAM_CONTINUATION,iFVG,PULLBACK_1M,B,24604.75,24696.222321428573,24421.805357142854,24513.277678571427,24421.805357142854,91.4723214285732,182.9446428571464,2.0,24607.0,24696.222321428573,2026-03-18 14:27:00,2026-03-18 15:06:00,-0.003625891877456544,-356.8892857142928,NQ,tradovate,1m,5,10.0,2026-03-18 10:27:00-04:00,2026-03-18 11:06:00-04:00,2026-03-18 10:27:00,2026-03-18 11:06:00,2026-03,2026-03,2026-03-18,2026-03-17,-89.2223214285732,-892.223214285732,1829.446428571464
