variant,exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-10,MNQ,56,1395.625,139.5625,24.921875,2.4921875,2.79125,42.857142857142854
type1_sniper,2025-10,MYM,20,5760.9375,2304.375,288.046875,115.21875,11.521875,65.0
type1_sniper,2025-11,MES,38,8028.125,321.125,211.26644736842104,8.450657894736842,16.05625,55.26315789473685
type1_sniper,2025-11,MGC,30,6853.749999999923,137.07499999999845,228.45833333333076,4.569166666666615,13.707499999999847,56.666666666666664
type1_sniper,2025-11,MNQ,37,3205.0,320.5,86.62162162162163,8.662162162162161,6.409999999999999,35.13513513513514
type1_sniper,2025-11,MYM,34,92.8125,37.125,2.729779411764706,1.0919117647058822,0.18562499999999982,32.35294117647059
type1_sniper,2025-12,MES,26,2826.5625,113.0625,108.7139423076923,4.3485576923076925,5.653125,50.0
type1_sniper,2025-12,MGC,50,7393.1250000001,147.862500000002,147.862500000002,2.95725000000004,14.7862500000002,42.0
type1_sniper,2025-12,MNQ,64,10632.5,1063.25,166.1328125,16.61328125,21.265,48.4375
type1_sniper,2025-12,MYM,29,2095.15625,838.0625,72.24676724137932,28.898706896551722,4.1903125,37.93103448275862
type1_sniper,2026-01,MCL,2,-655.0000000000011,-1.3100000000000023,-327.50000000000057,-0.6550000000000011,-1.3100000000000023,0.0
type1_sniper,2026-01,MES,39,1596.875,63.875,40.94551282051282,1.6378205128205128,3.19375,43.58974358974359
type1_sniper,2026-01,MGC,76,12345.624999999882,246.91249999999764,162.44243421052477,3.248848684210495,24.691249999999762,48.68421052631579
type1_sniper,2026-01,MNQ,45,5597.5,559.75,124.38888888888889,12.438888888888888,11.195,48.888888888888886
type1_sniper,2026-01,MYM,33,4798.75,1919.5,145.41666666666666,58.166666666666664,9.5975,54.54545454545454
type1_sniper,2026-02,MES,33,-900.0,-36.0,-27.272727272727273,-1.0909090909090908,-1.7999999999999998,24.242424242424242
type1_sniper,2026-02,MGC,23,2834.375000000091,56.68750000000182,123.23369565217787,2.4646739130435575,5.668750000000181,43.47826086956522
type1_sniper,2026-02,MNQ,55,17205.625,1720.5625,312.82954545454544,31.282954545454544,34.411249999999995,50.90909090909091
type1_sniper,2026-02,MYM,20,3240.3125,1296.125,162.015625,64.80625,6.480625,50.0
type1_sniper,2026-03,MCL,8,3229.9999999999827,6.459999999999965,403.74999999999784,0.8074999999999957,6.459999999999965,62.5
type1_sniper,2026-03,MES,48,5360.9375,214.4375,111.68619791666667,4.467447916666667,10.721874999999999,43.75
type1_sniper,2026-03,MGC,21,848.1250000000728,16.962500000001455,40.38690476190823,0.8077380952381645,1.6962500000001464,33.33333333333333
type1_sniper,2026-03,MNQ,32,6429.375,642.9375,200.91796875,20.091796875,12.85875,40.625
type1_sniper,2026-03,MYM,25,-1899.21875,-759.6875,-75.96875,-30.3875,-3.7984375,24.0
type1_sniper,2026-04,MCL,2,325.00000000000284,0.6500000000000057,162.50000000000142,0.32500000000000284,0.6500000000000057,50.0
type1_sniper,2026-04,MES,8,-75.0,-3.0,-9.375,-0.375,-0.15000000000000002,25.0
type1_sniper,2026-04,MGC,8,-48.12500000016371,-0.9625000000032742,-6.015625000020464,-0.12031250000040927,-0.09625000000032768,37.5
type1_sniper,2026-04,MNQ,10,575.0,57.5,57.5,5.75,1.15,30.0
type1_sniper,2026-04,MYM,4,643.75,257.5,160.9375,64.375,1.2875,50.0
type2_baseline,2025-04,MCL,1,-404.9999999999976,-0.8099999999999952,-404.9999999999976,-0.8099999999999952,-0.8099999999999953,0.0
type2_baseline,2025-04,MES,2,606.25,24.25,303.125,12.125,1.2125000000000001,50.0
type2_baseline,2025-04,MGC,6,7106.875000000059,142.13750000000118,1184.4791666666765,23.68958333333353,14.213750000000118,100.0
type2_baseline,2025-04,MNQ,2,1047.5,104.75,523.75,52.375,2.095,50.0
type2_baseline,2025-04,MYM,1,-285.625,-114.25,-285.625,-114.25,-0.5712499999999999,0.0
type2_baseline,2025-05,MES,3,-937.5,-37.5,-312.5,-12.5,-1.875,0.0
type2_baseline,2025-05,MGC,10,1806.8749999999454,36.13749999999891,180.68749999999454,3.6137499999998908,3.6137499999998908,50.0
type2_baseline,2025-05,MNQ,10,1118.125,111.8125,111.8125,11.18125,2.23625,40.0
type2_baseline,2025-05,MYM,3,274.375,109.75,91.45833333333333,36.583333333333336,0.54875,66.66666666666666
type2_baseline,2025-06,MCL,1,780.0000000000011,1.5600000000000023,780.0000000000011,1.5600000000000023,1.5600000000000023,100.0
type2_baseline,2025-06,MES,3,243.75,9.75,81.25,3.25,0.48750000000000004,33.33333333333333
type2_baseline,2025-06,MGC,4,679.9999999999955,13.599999999999909,169.99999999999886,3.3999999999999773,1.3599999999999908,50.0
type2_baseline,2025-06,MNQ,11,2259.375,225.9375,205.39772727272728,20.539772727272727,4.518750000000001,54.54545454545454
type2_baseline,2025-06,MYM,1,-5.0,-2.0,-5.0,-2.0,-0.01,0.0
type2_baseline,2025-07,MES,1,-162.5,-6.5,-162.5,-6.5,-0.325,0.0
type2_baseline,2025-07,MGC,15,2681.874999999968,53.63749999999936,178.79166666666455,3.575833333333291,5.3637499999999365,60.0
type2_baseline,2025-07,MNQ,6,860.0,86.0,143.33333333333334,14.333333333333334,1.72,50.0
type2_baseline,2025-07,MYM,2,-396.25,-158.5,-198.125,-79.25,-0.7925,0.0
type2_baseline,2025-08,MCL,2,1359.9999999999923,2.7199999999999847,679.9999999999961,1.3599999999999923,2.7199999999999847,100.0
type2_baseline,2025-08,MES,5,1106.25,44.25,221.25,8.85,2.2125,80.0
type2_baseline,2025-08,MGC,15,786.8750000000318,15.737500000000637,52.45833333333545,1.0491666666667092,1.5737500000000637,46.666666666666664
type2_baseline,2025-08,MNQ,6,-220.0,-22.0,-36.666666666666664,-3.6666666666666665,-0.4399999999999997,33.33333333333333
