variant,exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-10,MNQ,56,1395.625,139.5625,24.921875,2.4921875,2.79125,42.857142857142854
type1_sniper,2025-10,MYM,25,6421.09375,2568.4375,256.84375,102.7375,12.8421875,64.0
type1_sniper,2025-11,MES,44,9503.125,380.125,215.98011363636363,8.639204545454545,19.006249999999998,56.81818181818182
type1_sniper,2025-11,MGC,33,10480.624999999964,209.61249999999927,317.59469696969586,6.351893939393918,20.96124999999993,60.60606060606061
type1_sniper,2025-11,MNQ,38,2997.5,299.75,78.88157894736842,7.8881578947368425,5.994999999999999,34.21052631578947
type1_sniper,2025-11,MYM,34,92.8125,37.125,2.729779411764706,1.0919117647058822,0.18562499999999982,32.35294117647059
type1_sniper,2025-12,MES,28,2420.3125,96.8125,86.43973214285714,3.4575892857142856,4.840624999999999,46.42857142857143
type1_sniper,2025-12,MGC,64,6978.1250000000455,139.5625000000009,109.03320312500071,2.180664062500014,13.956250000000091,37.5
type1_sniper,2025-12,MNQ,76,12072.5,1207.25,158.84868421052633,15.884868421052632,24.145,46.05263157894737
type1_sniper,2025-12,MYM,33,2089.53125,835.8125,63.31912878787879,25.327651515151516,4.179062500000001,39.39393939393939
type1_sniper,2026-01,MCL,3,239.9999999999984,0.4799999999999969,79.99999999999947,0.15999999999999895,0.47999999999999676,33.33333333333333
type1_sniper,2026-01,MES,47,2681.25,107.25,57.047872340425535,2.2819148936170213,5.3625,46.808510638297875
type1_sniper,2026-01,MGC,80,15639.999999999873,312.79999999999745,195.4999999999984,3.909999999999968,31.279999999999745,51.24999999999999
type1_sniper,2026-01,MNQ,48,7082.5,708.25,147.55208333333334,14.755208333333334,14.165,50.0
type1_sniper,2026-01,MYM,45,6529.6875,2611.875,145.10416666666666,58.041666666666664,13.059375,57.77777777777777
type1_sniper,2026-02,MCL,1,-119.99999999999744,-0.23999999999999488,-119.99999999999744,-0.23999999999999488,-0.2399999999999949,0.0
type1_sniper,2026-02,MES,52,-443.75,-17.75,-8.533653846153847,-0.34134615384615385,-0.8874999999999997,28.846153846153843
type1_sniper,2026-02,MGC,33,4196.875,83.9375,127.1780303030303,2.543560606060606,8.393749999999999,39.39393939393939
type1_sniper,2026-02,MNQ,64,17405.625,1740.5625,271.962890625,27.1962890625,34.81125,46.875
type1_sniper,2026-02,MYM,25,3602.1875,1440.875,144.0875,57.635,7.204375000000001,44.0
type1_sniper,2026-03,MCL,11,1544.9999999999875,3.089999999999975,140.45454545454433,0.2809090909090886,3.089999999999975,45.45454545454545
type1_sniper,2026-03,MES,76,8879.6875,355.1875,116.83799342105263,4.673519736842105,17.759375,47.368421052631575
type1_sniper,2026-03,MGC,38,-201.87499999992724,-4.037499999998545,-5.312499999998085,-0.10624999999996171,-0.4037499999998535,28.947368421052634
type1_sniper,2026-03,MNQ,52,11171.25,1117.125,214.83173076923077,21.483173076923077,22.3425,42.30769230769231
type1_sniper,2026-03,MYM,36,-2786.09375,-1114.4375,-77.39149305555556,-30.95659722222222,-5.5721875,22.22222222222222
type1_sniper,2026-04,MCL,6,-515.0000000000007,-1.0300000000000011,-85.83333333333344,-0.17166666666666686,-1.0300000000000014,33.33333333333333
type1_sniper,2026-04,MES,8,-75.0,-3.0,-9.375,-0.375,-0.15000000000000002,25.0
type1_sniper,2026-04,MGC,8,-48.12500000016371,-0.9625000000032742,-6.015625000020464,-0.12031250000040927,-0.09625000000032768,37.5
type1_sniper,2026-04,MNQ,10,575.0,57.5,57.5,5.75,1.15,30.0
type1_sniper,2026-04,MYM,4,643.75,257.5,160.9375,64.375,1.2875,50.0
type2_baseline,2025-04,MCL,1,-404.9999999999976,-0.8099999999999952,-404.9999999999976,-0.8099999999999952,-0.8099999999999953,0.0
type2_baseline,2025-04,MES,2,606.25,24.25,303.125,12.125,1.2125000000000001,50.0
type2_baseline,2025-04,MGC,6,7106.875000000059,142.13750000000118,1184.4791666666765,23.68958333333353,14.213750000000118,100.0
type2_baseline,2025-04,MNQ,2,1047.5,104.75,523.75,52.375,2.095,50.0
type2_baseline,2025-04,MYM,1,-285.625,-114.25,-285.625,-114.25,-0.5712499999999999,0.0
type2_baseline,2025-05,MES,3,-937.5,-37.5,-312.5,-12.5,-1.875,0.0
type2_baseline,2025-05,MGC,10,1806.8749999999454,36.13749999999891,180.68749999999454,3.6137499999998908,3.6137499999998908,50.0
type2_baseline,2025-05,MNQ,10,1118.125,111.8125,111.8125,11.18125,2.23625,40.0
type2_baseline,2025-05,MYM,3,274.375,109.75,91.45833333333333,36.583333333333336,0.54875,66.66666666666666
type2_baseline,2025-06,MCL,2,400.00000000000216,0.8000000000000043,200.00000000000108,0.40000000000000213,0.8000000000000044,50.0
type2_baseline,2025-06,MES,3,243.75,9.75,81.25,3.25,0.48750000000000004,33.33333333333333
type2_baseline,2025-06,MGC,4,679.9999999999955,13.599999999999909,169.99999999999886,3.3999999999999773,1.3599999999999908,50.0
type2_baseline,2025-06,MNQ,12,1911.875,191.1875,159.32291666666666,15.932291666666666,3.8237500000000004,50.0
type2_baseline,2025-06,MYM,1,-5.0,-2.0,-5.0,-2.0,-0.01,0.0
type2_baseline,2025-07,MES,1,-162.5,-6.5,-162.5,-6.5,-0.325,0.0
type2_baseline,2025-07,MGC,15,2681.874999999968,53.63749999999936,178.79166666666455,3.575833333333291,5.3637499999999365,60.0
type2_baseline,2025-07,MNQ,7,567.5,56.75,81.07142857142857,8.107142857142858,1.135,42.857142857142854
type2_baseline,2025-07,MYM,2,-396.25,-158.5,-198.125,-79.25,-0.7925,0.0
type2_baseline,2025-08,MCL,2,1359.9999999999923,2.7199999999999847,679.9999999999961,1.3599999999999923,2.7199999999999847,100.0
type2_baseline,2025-08,MES,5,1106.25,44.25,221.25,8.85,2.2125,80.0
type2_baseline,2025-08,MGC,15,786.8750000000318,15.737500000000637,52.45833333333545,1.0491666666667092,1.5737500000000637,46.666666666666664
type2_baseline,2025-08,MNQ,6,-220.0,-22.0,-36.666666666666664,-3.6666666666666665,-0.4399999999999997,33.33333333333333
type2_baseline,2025-08,MYM,5,1589.375,635.75,317.875,127.15,3.17875,60.0
