side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic,entry_in_apex_hours,exit_in_apex_hours,apex_hours_ok,forced_flat_before_close_ok
LONG,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,25793.0,25764.75,25860.75,25814.75,25860.75,28.25,67.75,2.398230088495575,25792.0,25820.0,2025-12-08 07:06:00,2025-12-08 07:38:00,0.0010856079404466534,56.0,NQ,tradovate,1m,5,10.0,2025-12-08 02:06:00-05:00,2025-12-08 02:38:00-05:00,2025-12-08 02:06:00,2025-12-08 02:38:00,2025-12,2025-12,2025-12-08,2025-12-07,28.0,280.0,677.5,True,True,True,True
LONG,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,25793.0,25764.75,25860.75,25814.75,25860.75,28.25,67.75,2.398230088495575,25792.0,25764.75,2025-12-08 07:06:00,2025-12-08 10:03:00,-0.0010565291563275903,-27.25,NQ,tradovate,1m,5,10.0,2025-12-08 02:06:00-05:00,2025-12-08 05:03:00-05:00,2025-12-08 02:06:00,2025-12-08 05:03:00,2025-12,2025-12,2025-12-08,2025-12-07,-27.25,-272.5,677.5,True,True,True,True
LONG,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,25703.5,25678.5,25753.5,25728.5,25753.5,25.0,50.0,2.0,25703.75,25730.5,2025-12-10 07:05:00,2025-12-10 08:01:00,0.0010407041774060932,53.5,NQ,tradovate,1m,5,10.0,2025-12-10 02:05:00-05:00,2025-12-10 03:01:00-05:00,2025-12-10 02:05:00,2025-12-10 03:01:00,2025-12,2025-12,2025-12-10,2025-12-09,26.75,267.5,500.0,True,True,True,True
LONG,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,25703.5,25678.5,25753.5,25728.5,25753.5,25.0,50.0,2.0,25703.75,25703.75,2025-12-10 07:05:00,2025-12-10 10:07:00,0.0,0.0,NQ,tradovate,1m,5,10.0,2025-12-10 02:05:00-05:00,2025-12-10 05:07:00-05:00,2025-12-10 02:05:00,2025-12-10 05:07:00,2025-12,2025-12,2025-12-10,2025-12-09,0.0,0.0,500.0,True,True,True,True
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,47900.25,47825.25,48871.0,47975.25,48871.0,75.0,970.75,12.943333333333333,47898.0,47973.0,2025-12-11 05:52:00,2025-12-11 09:21:00,0.0015658273831893332,75.0,MYM,tradovate,1m,5,2.5,2025-12-11 00:52:00-05:00,2025-12-11 04:21:00-05:00,2025-12-11 00:52:00,2025-12-11 04:21:00,2025-12,2025-12,2025-12-11,2025-12-10,75.0,187.5,2426.875,True,True,True,True
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,47900.25,47825.25,48871.0,47975.25,48871.0,75.0,970.75,12.943333333333333,47898.0,48803.0,2025-12-11 05:52:00,2025-12-11 21:51:00,0.018894317090483836,905.0,MYM,tradovate,1m,5,2.5,2025-12-11 00:52:00-05:00,2025-12-11 16:51:00-05:00,2025-12-11 00:52:00,2025-12-11 16:51:00,2025-12,2025-12,2025-12-11,2025-12-10,905.0,2262.5,2426.875,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,4325.8,4319.318571428571,4387.5,4331.181428571429,4387.5,6.4814285714292055,61.69999999999982,9.519506281682974,4325.9,4333.2,2025-12-12 08:13:00,2025-12-12 08:44:00,0.0016875101135025439,87.60000000000218,MGC,tradovate,1m,5,50.0,2025-12-12 03:13:00-05:00,2025-12-12 03:44:00-05:00,2025-12-12 03:13:00,2025-12-12 03:44:00,2025-12,2025-12,2025-12-12,2025-12-11,7.300000000000182,365.0000000000091,3084.999999999991,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,4325.8,4319.318571428571,4387.5,4331.181428571429,4387.5,6.4814285714292055,61.69999999999982,9.519506281682974,4325.9,4325.9,2025-12-12 08:13:00,2025-12-12 15:55:00,0.0,0.0,MGC,tradovate,1m,5,50.0,2025-12-12 03:13:00-05:00,2025-12-12 10:55:00-05:00,2025-12-12 03:13:00,2025-12-12 10:55:00,2025-12,2025-12,2025-12-12,2025-12-11,0.0,0.0,3084.999999999991,True,True,True,True
LONG,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,4377.4,4373.059285714286,4385.93142857143,4381.640714285715,4385.93142857143,4.340714285714057,8.531428571430297,1.9654434753995467,4377.4,4373.059285714286,2025-12-15 07:24:00,2025-12-15 07:35:00,-0.0009916192912948762,-95.49571428570925,MGC,tradovate,1m,5,50.0,2025-12-15 02:24:00-05:00,2025-12-15 02:35:00-05:00,2025-12-15 02:24:00,2025-12-15 02:35:00,2025-12,2025-12,2025-12-15,2025-12-14,-4.340714285714057,-217.03571428570285,426.57142857151484,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,4379.8,4375.55,4387.55,4383.55,4387.55,4.25,7.75,1.8235294117647058,4379.8,4375.55,2025-12-15 08:29:00,2025-12-15 10:00:00,-0.0009703639435590938,-93.5,MGC,tradovate,1m,5,50.0,2025-12-15 03:29:00-05:00,2025-12-15 05:00:00-05:00,2025-12-15 03:29:00,2025-12-15 05:00:00,2025-12,2025-12,2025-12-15,2025-12-14,-4.25,-212.5,387.5,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,48667.0,48573.25,48798.25,48723.25,48798.25,93.75,131.25,1.4,48667.0,48573.25,2025-12-15 09:12:00,2025-12-15 14:48:00,-0.0019263566687899303,-187.5,MYM,tradovate,1m,5,2.5,2025-12-15 04:12:00-05:00,2025-12-15 09:48:00-05:00,2025-12-15 04:12:00,2025-12-15 09:48:00,2025-12,2025-12,2025-12-15,2025-12-14,-93.75,-234.375,328.125,True,True,True,True
