side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts,planned_target_dollars_10_mnq,gross_pnl_dollars_dynamic,gross_points
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24124.5,24095.95446428571,24375.0,24143.284151785716,24375.0,28.545535714285503,250.5,8.77545275405843,24124.75,24302.5,177.75,1777.5,0.0073679519995026,533.25,2320.6142857142986,1160.25,0.4999753759780326,,-1000.0,-2000.0,,2025-09-15 02:31:00-04:00,2025-09-15 16:56:00-04:00,2025-09-14,2025-09-14,2025-09-15,2025-09-15 02:31:00,2025-09-15 16:56:00,2025-09,2025-09,3555.0,10,533.25,5005.0,3555.0,177.75
SHORT,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,24865.75,24894.791964285716,24603.75,24843.968526785713,24603.75,29.04196428571595,262.0,9.02142835183027,24868.5,24894.791964285716,-26.29196428571595,-262.9196428571595,-0.0010572396519981,-105.1678571428638,3384.730357142871,1160.25,0.3427894920939562,,-1000.0,-2000.0,,2025-11-17 14:59:00-05:00,2025-11-17 15:06:00-05:00,2025-11-16,2025-11-16,2025-11-17,2025-11-17 14:59:00,2025-11-17 15:06:00,2025-11,2025-11,-525.839285714319,10,-105.1678571428638,5295.0,-525.839285714319,-26.29196428571595
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,25720.5,25694.5,25860.75,25738.25,25860.75,26.0,140.25,5.394230769230769,25721.0,25694.5,-26.5,-265.0,-0.0010302865362933,-79.5,3446.4758928571573,1160.25,0.3366482273688974,,-1000.0,-2000.0,,2025-12-08 14:36:00-05:00,2025-12-08 15:33:00-05:00,2025-12-07,2025-12-07,2025-12-08,2025-12-08 14:36:00,2025-12-08 15:33:00,2025-12,2025-12,-530.0,10,-79.5,2795.0,-530.0,-26.5
LONG,LONDON_CONTINUATION,CISD,A,PULLBACK_1M,25912.0,25887.0,26045.5,25930.75,26045.5,25.0,133.5,5.34,25912.0,26004.5,92.5,925.0,0.0035697746217968,92.5,3605.2258928571578,1160.25,0.321824494353805,,-1000.0,-2000.0,,2026-01-13 03:30:00-05:00,2026-01-13 03:31:00-05:00,2026-01-12,2026-01-12,2026-01-13,2026-01-13 03:30:00,2026-01-13 03:31:00,2026-01,2026-01,1850.0,10,92.5,2670.0,1850.0,92.5
LONG,LONDON_CONTINUATION,CISD,A,PULLBACK_1M,25912.0,25887.0,26045.5,25930.75,26045.5,25.0,133.5,5.34,25912.0,25912.0,0.0,0.0,0.0,0.0,3605.2258928571578,1160.25,0.321824494353805,,-1000.0,-2000.0,,2026-01-13 03:30:00-05:00,2026-01-13 05:02:00-05:00,2026-01-12,2026-01-12,2026-01-13,2026-01-13 03:30:00,2026-01-13 05:02:00,2026-01,2026-01,0.0,10,0.0,2670.0,0.0,0.0
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,26168.5,26143.22857142857,26349.0,26187.45357142857,26349.0,25.27142857142826,180.5,7.142453363482281,26166.75,26216.0,49.25,492.5,0.0018821596109566,98.5,4210.975892857157,1160.25,0.2755299554120143,,-1000.0,-2000.0,,2026-01-27 14:26:00-05:00,2026-01-27 16:56:00-05:00,2026-01-26,2026-01-26,2026-01-27,2026-01-27 14:26:00,2026-01-27 16:56:00,2026-01,2026-01,985.0,10,98.5,3645.0,985.0,49.25
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25390.75,25431.0,24783.5,25387.25,24783.5,40.25,607.25,15.08695652173913,25391.0,25359.25,31.75,317.5,0.0012504430703792,31.75,4096.3803571428725,1160.25,0.2832378585101034,,-1000.0,-2000.0,,2026-02-04 03:05:00-05:00,2026-02-04 03:49:00-05:00,2026-02-03,2026-02-03,2026-02-04,2026-02-04 03:05:00,2026-02-04 03:49:00,2026-02,2026-02,635.0,10,31.75,12150.0,635.0,31.75
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,25390.75,25431.0,24783.5,25387.25,24783.5,40.25,607.25,15.08695652173913,25391.0,25000.5,390.5,3905.0,0.0153794651648221,781.0,4877.3803571428725,1160.25,0.2378838464588528,,-1000.0,-2000.0,,2026-02-04 03:05:00-05:00,2026-02-04 16:56:00-05:00,2026-02-03,2026-02-03,2026-02-04,2026-02-04 03:05:00,2026-02-04 16:56:00,2026-02,2026-02,7810.0,10,781.0,12150.0,7810.0,390.5
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24807.5,24832.5,24678.5,24788.75,24678.5,25.0,129.0,5.16,24807.5,24832.5,-25.0,-250.0,-0.0010077597500754,-100.0,4743.8803571428725,1160.25,0.2445782592836703,,-1000.0,-2000.0,,2026-02-20 02:30:00-05:00,2026-02-20 03:03:00-05:00,2026-02-19,2026-02-19,2026-02-20,2026-02-20 02:30:00,2026-02-20 03:03:00,2026-02,2026-02,-500.0,10,-100.0,2580.0,-500.0,-25.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25156.0,25122.04642857143,25401.5,25171.840178571427,25401.5,33.953571428570285,245.5,7.230461765015495,25156.5,25211.75,55.25,552.5,0.002196251465824,55.25,4676.1303571428725,1160.25,0.2481218253951576,,-1000.0,-2000.0,,2026-02-25 03:56:00-05:00,2026-02-25 04:31:00-05:00,2026-02-24,2026-02-24,2026-02-25,2026-02-25 03:56:00,2026-02-25 04:31:00,2026-02,2026-02,1105.0,10,55.25,4900.0,1105.0,55.25
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,25156.0,25122.04642857143,25401.5,25171.840178571427,25401.5,33.953571428570285,245.5,7.230461765015495,25156.5,25401.5,245.0,2450.0,0.009739033649355,490.0,5166.1303571428725,1160.25,0.2245878287596436,,-1000.0,-2000.0,,2026-02-25 03:56:00-05:00,2026-02-25 11:07:00-05:00,2026-02-24,2026-02-24,2026-02-25,2026-02-25 03:56:00,2026-02-25 11:07:00,2026-02,2026-02,4900.0,10,490.0,4900.0,4900.0,245.0
