exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-07-14,2,28.0,28.0,14.0,50.0,1952.0714285714348
2025-07-16,2,572.5,207.5,286.25,100.0,2524.571428571435
2025-07-20,2,-46.75,2.75,-23.375,50.0,2477.821428571435
2025-07-21,1,-98.0,-24.5,-98.0,0.0,2379.821428571435
2025-07-22,2,-43.75,1.75,-21.875,50.0,2336.071428571435
2025-07-23,1,-102.0,-25.5,-102.0,0.0,2234.071428571435
2025-07-27,1,92.0,23.0,92.0,100.0,2326.071428571435
2025-07-28,2,297.75,120.75,148.875,100.0,2623.821428571435
2025-07-30,2,-45.75,6.25,-22.875,50.0,2578.071428571435
2025-08-06,2,291.5,116.0,145.75,100.0,2869.571428571435
2025-08-10,1,-101.0,-25.25,-101.0,0.0,2768.571428571435
2025-08-12,2,284.0,112.5,142.0,100.0,3052.571428571435
2025-08-14,1,-103.0,-25.75,-103.0,0.0,2949.571428571435
2025-08-25,1,-122.4571428571362,-30.61428571428405,-122.4571428571362,0.0,2827.1142857142986
2025-08-31,2,82.25,46.75,41.125,100.0,2909.3642857142986
2025-09-01,2,28.75,28.75,14.375,50.0,2938.1142857142986
2025-09-04,2,-58.0,2.0,-29.0,50.0,2880.1142857142986
2025-09-07,2,191.25,81.25,95.625,100.0,3071.3642857142986
2025-09-08,2,-46.25,1.25,-23.125,50.0,3025.1142857142986
2025-09-09,3,-57.75,27.0,-19.25,33.33333333333333,2967.3642857142986
2025-09-10,1,-97.0,-24.25,-97.0,0.0,2870.3642857142986
2025-09-11,1,26.25,26.25,26.25,100.0,2896.6142857142986
2025-09-13,1,272.25,90.75,272.25,100.0,3168.8642857142986
2025-09-14,2,564.25,208.75,282.125,100.0,3733.1142857142986
2025-09-15,1,-87.0,-21.75,-87.0,0.0,3646.1142857142986
2025-09-17,1,-123.0,-30.75,-123.0,0.0,3523.1142857142986
2025-09-18,2,26.0,26.0,13.0,50.0,3549.1142857142986
2025-09-22,1,-107.0,-26.75,-107.0,0.0,3442.1142857142986
2025-09-25,1,-121.0,-30.25,-121.0,0.0,3321.1142857142986
2025-09-28,2,279.75,112.75,139.875,100.0,3600.8642857142986
2025-10-01,3,202.75,88.75,67.58333333333333,66.66666666666666,3803.6142857142986
2025-10-02,2,-139.89374999999563,-46.631249999998545,-69.94687499999782,0.0,3663.720535714303
2025-10-06,2,25.75,25.75,12.875,50.0,3689.470535714303
2025-10-09,2,36.0,36.0,18.0,50.0,3725.470535714303
2025-10-16,2,36.0,36.0,18.0,50.0,3761.470535714303
2025-10-20,1,-72.75,-24.25,-72.75,0.0,3688.720535714303
2025-10-21,1,-81.0,-27.0,-81.0,0.0,3607.720535714303
2025-10-23,2,199.5,113.0,99.75,100.0,3807.220535714303
2025-10-26,2,202.5,114.25,101.25,100.0,4009.720535714303
2025-10-27,2,400.5,213.25,200.25,100.0,4410.220535714303
2025-10-28,2,31.75,31.75,15.875,50.0,4441.970535714303
2025-10-30,3,-45.153571428567375,2.2821428571442084,-15.051190476189126,33.33333333333333,4396.816964285736
2025-11-02,2,29.75,29.75,14.875,50.0,4426.566964285736
2025-11-06,2,209.75,123.5,104.875,100.0,4636.316964285736
2025-11-12,2,-8.537499999998545,8.106250000000728,-4.268749999999272,50.0,4627.779464285737
2025-11-13,2,61.75,61.75,30.875,50.0,4689.529464285737
2025-11-16,1,-105.1678571428638,-26.29196428571595,-105.1678571428638,0.0,4584.361607142873
