side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,prop_daily_loss_limit,prop_max_drawdown_limit,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,LONDON_CONTINUATION,MSS,A,PULLBACK_1M,22735.25,22710.25,22825.5,22760.25,22825.5,25.0,90.25,3.61,22733.5,22757.25,23.75,237.5,0.0010447137484328461,47.5,788.3187500000022,1352.0,1.7150422972940784,-1000.0,-2000.0,2025-06-26,2025-06-26,2025-06-27,2025-06-27 03:08:00,2025-06-27 07:13:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22733.5,22733.5,0.0,0.0,0.0,0.0,788.3187500000022,1352.0,1.7150422972940784,-1000.0,-2000.0,2025-06-26,2025-06-26,2025-06-27,2025-06-27 03:08:00,2025-06-27 08:42:00,2025-06,2025-06
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,22835.25,22810.0,22885.0,22860.0,22885.0,25.25,49.75,1.9702970297029703,22835.0,22862.0,27.0,270.0,0.0011823954455878471,54.0,842.3187500000022,1352.0,1.605093083823667,-1000.0,-2000.0,2025-06-29,2025-06-29,2025-06-29,2025-06-29 20:33:00,2025-06-29 22:45:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22835.0,22885.0,50.0,500.0,0.002189621195533231,50.0,892.3187500000022,1352.0,1.5151536376434953,-1000.0,-2000.0,2025-06-29,2025-06-29,2025-06-30,2025-06-29 20:33:00,2025-06-30 00:42:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22865.25,22836.0,-29.25,-292.5,-0.0012792337717715263,-87.75,804.5687500000022,1352.0,1.68040332165523,-1000.0,-2000.0,2025-07-02,2025-07-02,2025-07-02,2025-07-02 21:26:00,2025-07-02 22:29:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,22848.25,22823.0,22898.0,22873.0,22898.0,25.25,49.75,1.9702970297029703,22848.0,22872.75,24.75,247.5,0.001083245798319421,49.5,854.0687500000022,1352.0,1.5830107353769782,-1000.0,-2000.0,2025-07-02,2025-07-02,2025-07-02,2025-07-02 22:50:00,2025-07-02 23:27:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22848.0,22898.0,50.0,500.0,0.0021883753501401593,50.0,904.0687500000022,1352.0,1.4954614900691974,-1000.0,-2000.0,2025-07-02,2025-07-02,2025-07-03,2025-07-02 22:50:00,2025-07-03 03:39:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22963.25,22938.0,-25.25,-252.5,-0.0010995830294057152,-75.75,828.3187500000022,1352.0,1.6322218952546907,-1000.0,-2000.0,2025-07-07,2025-07-07,2025-07-08,2025-07-08 03:53:00,2025-07-08 04:39:00,2025-07,2025-07
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,23014.25,22988.5,23112.0,23038.5,23112.0,25.75,97.75,3.796116504854369,23014.25,23041.75,27.5,275.0,0.0011949118480940601,55.0,883.3187500000022,1352.0,1.5305913069319503,-1000.0,-2000.0,2025-07-08,2025-07-08,2025-07-09,2025-07-09 14:08:00,2025-07-09 15:20:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23014.25,23041.25,27.0,270.0,0.0011731861781287822,27.0,910.3187500000022,1352.0,1.4851940597730156,-1000.0,-2000.0,2025-07-08,2025-07-08,2025-07-09,2025-07-09 14:08:00,2025-07-09 16:56:00,2025-07,2025-07
LONG,LONDON_CONTINUATION,MSS,A,PULLBACK_1M,22998.75,22967.75,23112.0,23017.75,23112.0,31.0,113.25,3.653225806451613,22998.25,23030.25,32.0,320.0,0.0013914102159946484,64.0,974.3187500000022,1352.0,1.3876362330089582,-1000.0,-2000.0,2025-07-09,2025-07-09,2025-07-10,2025-07-10 03:20:00,2025-07-10 04:23:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,22998.25,22998.25,0.0,0.0,0.0,0.0,974.3187500000022,1352.0,1.3876362330089582,-1000.0,-2000.0,2025-07-09,2025-07-09,2025-07-10,2025-07-10 03:20:00,2025-07-10 09:49:00,2025-07,2025-07
