side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,20176.75,20205.25,28.5,285.0,,57.0,-660.25,254.25,0.3850814085573646,1,-1000.0,-2000.0,150.0,2025-05-08 04:14:00,2025-05-08 04:20:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20176.75,20176.75,0.0,0.0,,0.0,-660.25,254.25,0.3850814085573646,1,-1000.0,-2000.0,150.0,2025-05-08 04:14:00,2025-05-08 08:36:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20488.25,20516.75,28.5,285.0,,57.0,-603.25,254.25,0.42146705346042274,1,-1000.0,-2000.0,150.0,2025-05-11 20:32:00,2025-05-11 21:02:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20488.25,20547.25,59.0,590.0,,118.0,-485.25,254.25,0.5239567233384853,1,-1000.0,-2000.0,150.0,2025-05-11 20:32:00,2025-05-12 01:42:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20575.0,20747.0,172.0,1720.0,,344.0,-141.25,462.0,3.270796460176991,2,-1000.0,-2000.0,150.0,2025-05-12 02:28:00,2025-05-12 03:01:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20575.0,20991.5,416.5,4165.0,,833.0,691.75,1295.0,1.8720636067943621,2,-1000.0,-2000.0,150.0,2025-05-12 02:28:00,2025-05-12 16:01:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21376.5,21345.0,-31.5,-315.0,,-94.5,597.25,1295.0,2.168271243197991,2,-1000.0,-2000.0,150.0,2025-05-14 14:41:00,2025-05-14 15:08:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21211.25,21241.75,30.5,305.0,,61.0,658.25,1295.0,1.967337637675655,2,-1000.0,-2000.0,150.0,2025-05-26 00:23:00,2025-05-26 02:30:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21211.25,21272.0,60.75,607.5,,60.75,719.0,1295.0,1.8011126564673157,2,-1000.0,-2000.0,150.0,2025-05-26 00:23:00,2025-05-26 18:01:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21333.75,21300.75,-33.0,-330.0,,-99.0,620.0,1295.0,2.088709677419355,2,-1000.0,-2000.0,150.0,2025-05-27 04:24:00,2025-05-27 04:50:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21474.25,21452.0,-22.25,-222.5,,-66.75,553.25,1295.0,2.340713962946227,2,-1000.0,-2000.0,150.0,2025-05-27 13:58:00,2025-05-27 14:22:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21482.5,21452.0,-30.5,-305.0,,-91.5,461.75,1295.0,2.8045479155387114,2,-1000.0,-2000.0,150.0,2025-05-27 21:10:00,2025-05-27 23:41:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21797.75,21772.25,-25.5,-255.0,,-76.5,385.25,1295.0,3.36145360155743,2,-1000.0,-2000.0,150.0,2025-05-28 23:12:00,2025-05-29 02:17:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,21698.75,21735.5,36.75,367.5,,73.5,458.75,1295.0,2.8228882833787465,2,-1000.0,-2000.0,150.0,2025-06-04 03:31:00,2025-06-04 04:05:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21698.75,21698.75,0.0,0.0,,0.0,458.75,1295.0,2.8228882833787465,2,-1000.0,-2000.0,150.0,2025-06-04 03:31:00,2025-06-04 08:20:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21823.5,21787.75,-35.75,-357.5,,-107.25,351.5,1295.0,3.6842105263157894,2,-1000.0,-2000.0,150.0,2025-06-05 03:57:00,2025-06-05 04:55:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21767.0,21794.0,27.0,270.0,,54.0,405.5,1295.0,3.193588162762022,2,-1000.0,-2000.0,150.0,2025-06-09 02:55:00,2025-06-09 04:00:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21767.0,21767.0,0.0,0.0,,0.0,405.5,1295.0,3.193588162762022,2,-1000.0,-2000.0,150.0,2025-06-09 02:55:00,2025-06-09 04:29:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21750.0,21782.5,32.5,325.0,,65.0,470.5,1295.0,2.752391073326249,2,-1000.0,-2000.0,150.0,2025-06-16 02:42:00,2025-06-16 03:51:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21750.0,21750.0,0.0,0.0,,0.0,470.5,1295.0,2.752391073326249,2,-1000.0,-2000.0,150.0,2025-06-16 02:42:00,2025-06-16 05:14:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21982.5,22010.5,28.0,280.0,,56.0,526.5,1295.0,2.459639126305793,2,-1000.0,-2000.0,150.0,2025-06-18 00:48:00,2025-06-18 02:12:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21982.5,21982.5,0.0,0.0,,0.0,526.5,1295.0,2.459639126305793,2,-1000.0,-2000.0,150.0,2025-06-18 00:48:00,2025-06-18 06:52:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21904.75,21932.75,28.0,280.0,,56.0,582.5,1295.0,2.223175965665236,2,-1000.0,-2000.0,150.0,2025-06-20 00:18:00,2025-06-20 02:08:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21904.75,21904.75,0.0,0.0,,0.0,582.5,1295.0,2.223175965665236,2,-1000.0,-2000.0,150.0,2025-06-20 00:18:00,2025-06-20 02:48:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21917.0,21947.5,30.5,305.0,,61.0,643.5,1295.0,2.0124320124320123,2,-1000.0,-2000.0,150.0,2025-06-20 03:24:00,2025-06-20 04:11:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,21917.0,21889.75,-27.25,-272.5,,-27.25,616.25,1295.0,2.101419878296146,2,-1000.0,-2000.0,150.0,2025-06-20 03:24:00,2025-06-20 04:45:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22427.0,22401.25,-25.75,-257.5,,-77.25,539.0,1295.0,2.4025974025974026,2,-1000.0,-2000.0,150.0,2025-06-24 14:38:00,2025-06-24 16:00:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22425.75,22458.0,32.25,322.5,,64.5,603.5,1295.0,2.1458160729080364,2,-1000.0,-2000.0,150.0,2025-06-25 04:57:00,2025-06-25 07:23:00,2025-06,2025-06
LONG,,,,PULLBACK_1M,,,,,,,,,22425.75,22425.75,0.0,0.0,,0.0,603.5,1295.0,2.1458160729080364,2,-1000.0,-2000.0,150.0,2025-06-25 04:57:00,2025-06-25 12:20:00,2025-06,2025-06
