side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts,entry_time_et_naive,exit_time_et_naive
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23475.0,23450.0,23550.0,23493.75,23550.0,25.0,75.0,3.0,23474.5,23496.0,21.5,215.0,0.0009158874523418348,21.5,2008.4107142857174,1186.25,0.5906411430502075,,-1000.0,-2000.0,,2025-08-06 21:29:30-04:00,2025-08-06 22:32:00-04:00,2025-08-06,2025-08-06,2025-08-06,2025-08,2025-08,430.0,5,215.0,2025-08-06 21:29:30,2025-08-06 22:32:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23475.0,23450.0,23550.0,23493.75,23550.0,25.0,75.0,3.0,23474.5,23550.0,75.5,755.0,0.0032162559372936883,151.0,2159.4107142857174,1186.25,0.5493396842723288,,-1000.0,-2000.0,,2025-08-06 21:29:30-04:00,2025-08-07 00:23:00-04:00,2025-08-06,2025-08-06,2025-08-07,2025-08,2025-08,1510.0,5,755.0,2025-08-06 21:29:30,2025-08-07 00:23:00
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,23736.0,23710.75,23810.75,23754.5,23810.75,25.25,74.75,2.9603960396039604,23736.0,23710.75,-25.25,-252.5,-0.0010637849679810962,-75.75,2083.6607142857174,1186.25,0.5693105369156267,,-1000.0,-2000.0,,2025-08-11 03:48:00-04:00,2025-08-11 04:53:30-04:00,2025-08-10,2025-08-10,2025-08-11,2025-08,2025-08,-505.0,10,-505.0,2025-08-11 03:48:00,2025-08-11 04:53:30
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23958.25,23931.5,24031.5,23975.25,24031.5,26.75,73.25,2.7383177570093458,23958.75,23980.75,22.0,220.0,0.0009182449000886272,22.0,2105.6607142857174,1186.25,0.5633623650533842,,-1000.0,-2000.0,,2025-08-12 21:02:30-04:00,2025-08-12 23:14:00-04:00,2025-08-12,2025-08-12,2025-08-12,2025-08,2025-08,440.0,5,220.0,2025-08-12 21:02:30,2025-08-12 23:14:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23958.25,23931.5,24031.5,23975.25,24031.5,26.75,73.25,2.7383177570093458,23958.75,24031.5,72.75,727.5,0.0030364689309752,145.5,2251.1607142857174,1186.25,0.5269503827390625,,-1000.0,-2000.0,,2025-08-12 21:02:30-04:00,2025-08-13 04:53:30-04:00,2025-08-12,2025-08-12,2025-08-13,2025-08,2025-08,1455.0,5,727.5,2025-08-12 21:02:30,2025-08-13 04:53:30
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23632.5,23604.45357142857,23716.63928571429,23653.534821428573,23716.63928571429,28.046428571429715,84.13928571428914,3.0,23631.25,23652.5,21.25,212.5,0.0008992330071408983,21.25,2272.4107142857174,1186.25,0.5220227103060776,,-1000.0,-2000.0,,2025-08-28 00:00:00-04:00,2025-08-28 00:14:00-04:00,2025-08-27,2025-08-27,2025-08-28,2025-08,2025-08,425.0,5,212.5,2025-08-28 00:00:00,2025-08-28 00:14:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23632.5,23604.45357142857,23716.63928571429,23653.534821428573,23716.63928571429,28.046428571429715,84.13928571428914,3.0,23631.25,23604.45357142857,-26.796428571429715,-267.96428571429715,-0.001133940378584719,-53.59285714285943,2218.817857142858,1186.25,0.5346315364198115,,-1000.0,-2000.0,,2025-08-28 00:00:00-04:00,2025-08-28 02:43:00-04:00,2025-08-27,2025-08-27,2025-08-28,2025-08,2025-08,-535.9285714285943,5,-267.96428571429715,2025-08-28 00:00:00,2025-08-28 02:43:00
SHORT,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,23486.0,23511.0,23270.0,23467.25,23270.0,25.0,216.0,8.64,23488.0,23466.75,21.25,212.5,0.0009047173024523403,21.25,2240.067857142858,1186.25,0.529559850706053,,-1000.0,-2000.0,,2025-09-01 02:46:00-04:00,2025-09-01 03:26:30-04:00,2025-08-31,2025-08-31,2025-09-01,2025-09,2025-09,425.0,10,425.0,2025-09-01 02:46:00,2025-09-01 03:26:30
SHORT,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,23486.0,23511.0,23270.0,23467.25,23270.0,25.0,216.0,8.64,23488.0,23470.25,17.75,177.5,0.0007557050408719679,35.5,2275.567857142858,1186.25,0.5212984514069484,,-1000.0,-2000.0,,2025-09-01 02:46:00-04:00,2025-09-01 16:55:30-04:00,2025-08-31,2025-08-31,2025-09-01,2025-09,2025-09,355.0,10,355.0,2025-09-01 02:46:00,2025-09-01 16:55:30
SHORT,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,23234.25,23259.5,23025.25,23215.75,23025.25,25.25,209.0,8.277227722772277,23233.5,23213.5,20.0,200.0,0.0008608259625110248,20.0,2295.567857142858,1186.25,0.5167566692959568,,-1000.0,-2000.0,,2025-09-02 03:09:30-04:00,2025-09-02 04:01:30-04:00,2025-09-01,2025-09-01,2025-09-02,2025-09,2025-09,400.0,10,400.0,2025-09-02 03:09:30,2025-09-02 04:01:30
