side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21352.75,21327.75,21427.75,21371.5,21427.75,25.0,75.0,3.0,21350.25,21327.75,-22.5,-225.0,-0.0010538518284328724,-90.0,1024.0,1160.25,1.133056640625,,-1000.0,-2000.0,,2025-05-14 04:07:00-04:00,2025-05-14 04:41:00-04:00,2025-05-13,2025-05-13,2025-05-14,2025-05-14 04:07:00,2025-05-14 04:41:00,2025-05,2025-05,-450.0,5,-90.0
LONG,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,21399.0,21372.0,21529.75,21415.75,21529.75,27.0,130.75,4.842592592592593,21400.0,21425.0,25.0,250.0,0.001168224299065379,25.0,1049.0,1160.25,1.1060533841754052,,-1000.0,-2000.0,,2025-05-15 14:10:00-04:00,2025-05-15 16:03:00-04:00,2025-05-14,2025-05-14,2025-05-15,2025-05-15 14:10:00,2025-05-15 16:03:00,2025-05,2025-05,500.0,10,25.0
LONG,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,21399.0,21372.0,21529.75,21415.75,21529.75,27.0,130.75,4.842592592592593,21400.0,21372.0,-28.0,-280.0,-0.0013084112149532867,-84.0,965.0,1160.25,1.2023316062176166,,-1000.0,-2000.0,,2025-05-15 14:10:00-04:00,2025-05-15 16:49:00-04:00,2025-05-14,2025-05-14,2025-05-15,2025-05-15 14:10:00,2025-05-15 16:49:00,2025-05,2025-05,-560.0,10,-84.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21455.0,21424.5,21529.75,21468.25,21529.75,30.5,74.75,2.4508196721311477,21454.75,21485.25,30.5,305.0,0.0014215966161339466,30.5,995.5,1160.25,1.165494726268207,,-1000.0,-2000.0,,2025-05-16 02:23:00-04:00,2025-05-16 03:27:00-04:00,2025-05-15,2025-05-15,2025-05-16,2025-05-16 02:23:00,2025-05-16 03:27:00,2025-05,2025-05,610.0,5,30.5
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21455.0,21424.5,21529.75,21468.25,21529.75,30.5,74.75,2.4508196721311477,21454.75,21424.5,-30.25,-302.5,-0.0014099441848541838,-90.75,904.75,1160.25,1.2823984526112187,,-1000.0,-2000.0,,2025-05-16 02:23:00-04:00,2025-05-16 05:00:00-04:00,2025-05-15,2025-05-15,2025-05-16,2025-05-16 02:23:00,2025-05-16 05:00:00,2025-05,2025-05,-605.0,5,-90.75
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21463.0,21438.0,21562.25,21481.75,21562.25,25.0,99.25,3.97,21460.75,21480.5,19.75,197.5,0.0009202847058000785,19.75,924.5,1160.25,1.2550027041644132,,-1000.0,-2000.0,,2025-05-20 02:59:00-04:00,2025-05-20 03:23:00-04:00,2025-05-19,2025-05-19,2025-05-20,2025-05-20 02:59:00,2025-05-20 03:23:00,2025-05,2025-05,395.0,5,19.75
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,21463.0,21438.0,21562.25,21481.75,21562.25,25.0,99.25,3.97,21460.75,21438.0,-22.75,-227.5,-0.0010600747876937655,-68.25,856.25,1160.25,1.355036496350365,,-1000.0,-2000.0,,2025-05-20 02:59:00-04:00,2025-05-20 04:36:00-04:00,2025-05-19,2025-05-19,2025-05-20,2025-05-20 02:59:00,2025-05-20 04:36:00,2025-05,2025-05,-455.0,5,-68.25
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21210.25,21177.5,21279.75,21221.25,21279.75,32.75,69.5,2.122137404580153,21211.0,21241.75,30.75,307.5,0.0014497194851728068,30.75,887.0,1160.25,1.3080608793686583,,-1000.0,-2000.0,,2025-05-25 21:50:00-04:00,2025-05-25 22:30:00-04:00,2025-05-25,2025-05-25,2025-05-25,2025-05-25 21:50:00,2025-05-25 22:30:00,2025-05,2025-05,615.0,5,30.75
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21210.25,21177.5,21279.75,21221.25,21279.75,32.75,69.5,2.122137404580153,21211.0,21279.75,68.75,687.5,0.0032412427514025843,206.25,1093.25,1160.25,1.0612851589297965,,-1000.0,-2000.0,,2025-05-25 21:50:00-04:00,2025-05-26 00:01:00-04:00,2025-05-25,2025-05-25,2025-05-26,2025-05-25 21:50:00,2025-05-26 00:01:00,2025-05,2025-05,1375.0,5,206.25
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21267.0,21242.0,21359.75,21285.75,21359.75,25.0,92.75,3.71,21267.0,21285.25,18.25,182.5,0.0008581370197959792,18.25,1111.5,1160.25,1.043859649122807,,-1000.0,-2000.0,,2025-05-26 03:10:00-04:00,2025-05-26 04:32:00-04:00,2025-05-25,2025-05-25,2025-05-26,2025-05-26 03:10:00,2025-05-26 04:32:00,2025-05,2025-05,365.0,5,18.25
